Movie_ID,Positive,Negative,Compound,Neutral
3217,0.078,0.133,-0.9831,0.788
3746,0.076,0.112,-0.9798,0.812
3837,0.034,0.134,-0.9967,0.832
3947,0.071,0.14,-0.9959,0.788
4227,0.097,0.139,-0.9813,0.764
4231,0.108,0.121,-0.8487,0.771
4560,0.073,0.179,-0.9988,0.748
4726,0.072,0.124,-0.9859,0.804
4727,0.153,0.128,0.9608,0.719
4728,0.042,0.12,-0.9962,0.838
4729,0.104,0.118,-0.9079,0.778
4730,0.08,0.132,-0.975,0.788
5035,0.077,0.12,-0.9217,0.803
5224,0.066,0.095,-0.9618,0.839
5313,0.089,0.135,-0.9935,0.775
5729,0.192,0.063,0.9988,0.745
8481,0.046,0.109,-0.9905,0.845
8695,0.073,0.115,-0.9914,0.812
8994,0.062,0.15,-0.9977,0.788
9294,0.031,0.143,-0.998,0.826
9429,0.13,0.119,0.6757,0.751
9835,0.077,0.142,-0.9963,0.781
9979,0.087,0.077,0.9067,0.836
10193,0.078,0.201,-0.9994,0.721
10487,0.079,0.163,-0.9965,0.757
10977,0.102,0.159,-0.9933,0.738
11167,0.11,0.057,0.8316,0.833
11223,0.12,0.08,0.9943,0.8
11242,0.124,0.115,-0.6227,0.761
11585,0.134,0.144,-0.8932,0.722
11701,0.11,0.198,-0.9986,0.692
11988,0.057,0.112,-0.9892,0.831
11992,0.138,0.174,-0.9201,0.688
11993,0.079,0.071,0.3182,0.85
11994,0.061,0.151,-0.9921,0.788
11998,0.06,0.134,-0.9923,0.806
12000,0.077,0.177,-0.9994,0.746
12001,0.079,0.117,-0.9531,0.804
12002,0.057,0.101,-0.9892,0.842
12003,0.06,0.136,-0.9995,0.804
12004,0.057,0.215,-0.9995,0.728
12005,0.066,0.209,-0.9992,0.725
13149,0.102,0.107,-0.9276,0.791
13901,0.094,0.186,-0.9987,0.72
17920,0.114,0.111,-0.7171,0.775
18230,0.086,0.124,-0.9477,0.79
18996,0.066,0.099,-0.8338,0.835
19701,0.067,0.195,-0.9984,0.737
19715,0.093,0.123,-0.8912,0.784
20669,0.076,0.061,0.912,0.863
20786,0.075,0.096,-0.9392,0.829
21180,0.057,0.197,-0.9984,0.746
22216,0.111,0.096,0.9304,0.793
22727,0.089,0.079,0.8493,0.833
22751,0.071,0.086,-0.9202,0.843
22829,0.068,0.06,0.3071,0.872
24653,0.103,0.154,-0.9947,0.743
25491,0.025,0.094,-0.9896,0.882
25506,0.072,0.105,-0.9678,0.823
26541,0.067,0.08,-0.5789,0.853
27079,0.05,0.102,-0.9833,0.847
27097,0.053,0.158,-0.9868,0.789
27098,0.05,0.102,-0.9906,0.848
28269,0.046,0.12,-0.997,0.834
28327,0.057,0.094,-0.996,0.849
28623,0.031,0.11,-0.9806,0.859
29645,0.07,0.197,-0.9858,0.732
29781,0.059,0.119,-0.9881,0.822
29782,0.044,0.094,-0.9921,0.862
29785,0.058,0.14,-0.9989,0.803
29942,0.067,0.118,-0.9947,0.815
29943,0.025,0.057,-0.6667,0.918
30000,0.061,0.162,-0.9971,0.777
30006,0.062,0.075,-0.7783,0.862
30007,0.081,0.112,-0.986,0.808
30275,0.038,0.202,-0.9992,0.76
30327,0.04,0.115,-0.9915,0.845
30515,0.069,0.15,-0.9975,0.782
30524,0.066,0.12,-0.9787,0.813
30575,0.066,0.094,-0.9716,0.839
30581,0.078,0.156,-0.9974,0.765
30582,0.073,0.115,-0.9855,0.812
30625,0.075,0.168,-0.9981,0.757
30809,0.065,0.194,-0.9993,0.741
31079,0.104,0.086,0.9791,0.81
31153,0.082,0.207,-0.9991,0.711
31193,0.162,0.107,0.9938,0.731
31351,0.074,0.099,-0.9721,0.827
31371,0.114,0.197,-0.9984,0.689
31556,0.118,0.104,0.3308,0.779
31557,0.055,0.199,-0.9997,0.746
31607,0.033,0.153,-0.9991,0.814
31908,0.087,0.048,0.9246,0.866
32260,0.044,0.212,-0.9998,0.744
33121,0.057,0.063,-0.4479,0.88
33124,0.114,0.112,0.7572,0.774
33270,0.126,0.062,0.9909,0.812
34130,0.095,0.138,-0.9901,0.766
37599,0.052,0.146,-0.9808,0.803
38088,0.065,0.036,0.8402,0.899
39311,0.059,0.17,-0.9997,0.771
40672,0.094,0.095,-0.8753,0.812
41528,0.099,0.099,-0.7626,0.802
42106,0.058,0.218,-0.9864,0.723
42137,0.101,0.113,-0.8647,0.785
42147,0.095,0.107,-0.9227,0.798
42222,0.058,0.0,0.5267,0.942
42224,0.148,0.072,0.8831,0.779
42225,0.039,0.038,0.0258,0.924
42293,0.085,0.12,-0.9957,0.795
42313,0.077,0.092,-0.8176,0.831
42361,0.164,0.19,-0.9554,0.646
42383,0.049,0.063,-0.9198,0.888
42507,0.079,0.236,-0.9981,0.685
42856,0.071,0.15,-0.9979,0.779
42861,0.076,0.061,0.34,0.863
42886,0.098,0.115,-0.9805,0.787
42993,0.078,0.065,0.8151,0.857
43307,0.074,0.132,-0.9993,0.794
43452,0.067,0.175,-0.9989,0.758
43566,0.076,0.188,-0.9988,0.737
43849,0.073,0.091,-0.6437,0.836
44122,0.096,0.044,0.902,0.859
44218,0.16,0.057,0.9953,0.782
44302,0.12,0.089,0.9627,0.791
44366,0.056,0.076,-0.986,0.868
44437,0.079,0.069,-0.1548,0.852
44501,0.088,0.097,-0.7139,0.814
44696,0.096,0.043,0.9816,0.861
44752,0.077,0.117,-0.9808,0.806
45126,0.112,0.163,-0.9947,0.725
45224,0.277,0.0,0.9432,0.723
45481,0.065,0.178,-0.9978,0.757
45488,0.082,0.128,-0.9348,0.79
45568,0.101,0.1,-0.392,0.799
45606,0.091,0.152,-0.9982,0.758
45772,0.135,0.125,0.7962,0.74
46505,0.115,0.11,0.7958,0.775
49696,0.072,0.117,-0.9968,0.811
49800,0.071,0.102,-0.9925,0.826
50486,0.129,0.131,0.6444,0.741
50744,0.061,0.21,-0.9993,0.728
50793,0.089,0.093,-0.8375,0.818
50957,0.051,0.129,-0.9967,0.82
51563,0.086,0.125,-0.9753,0.788
51888,0.084,0.054,0.9802,0.863
51906,0.073,0.061,0.9065,0.866
52371,0.11,0.104,-0.0716,0.786
52389,0.05,0.123,-0.9965,0.828
52390,0.124,0.095,0.9789,0.782
52549,0.065,0.204,-0.9988,0.731
53085,0.124,0.108,0.9503,0.768
53964,0.1,0.111,-0.8834,0.79
54030,0.086,0.122,-0.9881,0.792
54160,0.068,0.133,-0.9782,0.799
54166,0.058,0.058,-0.8779,0.884
54173,0.058,0.093,-0.9896,0.849
54175,0.113,0.125,-0.9348,0.762
54540,0.111,0.047,0.9884,0.841
55325,0.052,0.103,-0.9953,0.845
55447,0.063,0.153,-0.9974,0.784
55495,0.109,0.165,-0.9869,0.725
55601,0.033,0.141,-0.992,0.826
55720,0.111,0.052,0.9878,0.838
57585,0.088,0.077,0.2298,0.835
57820,0.027,0.099,-0.9926,0.874
58147,0.122,0.106,0.8085,0.772
58865,0.127,0.092,0.9781,0.782
60157,0.088,0.103,-0.0879,0.809
60164,0.134,0.159,-0.9815,0.707
60293,0.159,0.113,0.9876,0.728
61046,0.096,0.221,-0.9955,0.683
61059,0.064,0.127,-0.9575,0.808
61062,0.18,0.041,0.9844,0.778
61074,0.16,0.053,0.9432,0.787
61141,0.046,0.07,-0.9061,0.884
61175,0.049,0.188,-0.9914,0.764
61182,0.138,0.078,0.9931,0.784
61184,0.06,0.138,-0.9947,0.802
61191,0.124,0.128,0.4767,0.748
61323,0.092,0.05,0.6597,0.859
61480,0.215,0.022,0.9489,0.763
61484,0.077,0.13,-0.9321,0.793
61494,0.101,0.062,0.9957,0.837
61505,0.103,0.111,-0.6249,0.786
61519,0.156,0.156,0.1207,0.688
61522,0.082,0.065,0.714,0.853
61529,0.133,0.092,0.9678,0.775
61531,0.145,0.109,0.9368,0.746
61664,0.059,0.08,-0.9641,0.861
62115,0.101,0.118,-0.6217,0.781
62118,0.06,0.07,-0.3818,0.87
62121,0.116,0.155,-0.9678,0.729
62122,0.094,0.067,0.9094,0.839
62440,0.103,0.144,-0.9806,0.753
62592,0.139,0.072,0.9735,0.789
62668,0.045,0.143,-0.9987,0.811
63504,0.028,0.135,-0.9965,0.838
64004,0.113,0.174,-0.9896,0.712
64291,0.087,0.068,0.3182,0.846
64394,0.071,0.218,-0.9995,0.711
64657,0.133,0.103,0.9451,0.764
65669,0.152,0.093,0.9909,0.754
65834,0.064,0.056,0.1747,0.88
66322,0.042,0.16,-0.9983,0.798
66841,0.068,0.057,0.9388,0.874
66853,0.046,0.174,-0.9988,0.781
66870,0.149,0.102,0.9884,0.749
67371,0.038,0.185,-0.999,0.778
67411,0.065,0.093,-0.959,0.842
67415,0.047,0.127,-0.9978,0.826
67417,0.05,0.147,-0.9976,0.803
67419,0.049,0.154,-0.9982,0.797
67420,0.066,0.19,-0.9978,0.744
67422,0.129,0.103,0.9745,0.768
67423,0.054,0.15,-0.9975,0.796
67427,0.039,0.131,-0.9894,0.83
67431,0.048,0.216,-0.9993,0.736
67433,0.053,0.13,-0.6808,0.817
67441,0.083,0.157,-0.9942,0.76
67442,0.039,0.097,-0.9969,0.864
67444,0.084,0.162,-0.9905,0.755
67916,0.057,0.074,-0.9226,0.869
68047,0.089,0.111,-0.9707,0.8
68079,0.071,0.118,-0.992,0.812
68082,0.066,0.066,0.736,0.869
68092,0.032,0.118,-0.9979,0.85
68108,0.162,0.127,0.7351,0.71
68119,0.06,0.091,-0.9813,0.849
68124,0.074,0.084,-0.8232,0.842
68130,0.089,0.15,-0.7506,0.761
68245,0.06,0.151,-0.9892,0.788
68374,0.05,0.098,-0.9914,0.852
68388,0.08,0.097,-0.9229,0.823
68485,0.087,0.087,-0.7391,0.826
70091,0.081,0.105,-0.9556,0.814
70508,0.135,0.097,0.9601,0.767
71415,0.074,0.119,-0.9921,0.807
71473,0.052,0.152,-0.997,0.796
71975,0.055,0.109,-0.9934,0.835
72317,0.072,0.12,-0.9879,0.808
72453,0.061,0.124,-0.9978,0.815
73170,0.143,0.117,0.9838,0.74
73371,0.111,0.115,-0.0644,0.774
73375,0.143,0.121,0.9425,0.737
73376,0.075,0.083,-0.6887,0.842
73392,0.056,0.1,-0.25,0.844
73395,0.068,0.144,-0.7992,0.789
73412,0.055,0.102,-0.9949,0.843
73422,0.088,0.103,-0.9537,0.809
73423,0.098,0.082,0.2732,0.82
73425,0.147,0.103,0.8201,0.75
73428,0.077,0.204,-0.9997,0.719
73437,0.111,0.039,0.9768,0.85
73438,0.077,0.186,-0.9991,0.737
